number of outliers: 40
id,time,value
1,2024:12:06 15:05:40,747.8
2,2024:12:06 15:08:40,744.3
1,2024:12:06 15:10:40,561.0
2,2024:12:06 15:10:40,609.8
1,2024:12:06 15:12:40,605.1
1,2024:12:06 15:13:40,786.0
2,2024:12:06 15:13:40,602.7
2,2024:12:06 15:14:40,707.8
1,2024:12:06 15:17:40,718.1
1,2024:12:06 15:21:40,731.1
2,2024:12:06 15:22:40,616.2
2,2024:12:06 15:23:40,550.8
2,2024:12:06 15:24:40,580.3
1,2024:12:06 15:25:40,710.9
2,2024:12:06 15:26:40,676.8
1,2024:12:06 15:27:40,673.2
2,2024:12:06 15:30:40,598.6
1,2024:12:06 15:31:40,712.6
2,2024:12:06 15:31:40,673.6
1,2024:12:06 15:34:40,567.9
2,2024:12:06 15:37:40,676.5
1,2024:12:06 15:38:40,764.3
2,2024:12:06 15:40:40,768.9
2,2024:12:06 15:42:40,642.5
1,2024:12:06 15:44:40,721.3
2,2024:12:06 15:45:40,708.5
2,2024:12:06 15:48:40,745.3
2,2024:12:06 15:49:40,727.1
1,2024:12:06 15:50:40,688.7
1,2024:12:06 15:51:40,654.0
2,2024:12:06 15:52:40,659.8
1,2024:12:06 15:53:40,561.8
2,2024:12:06 15:53:40,763.5
2,2024:12:06 15:55:40,701.3
1,2024:12:06 15:56:40,583.8
2,2024:12:06 15:56:40,572.5
1,2024:12:06 15:57:40,565.2
1,2024:12:06 16:00:40,733.3
2,2024:12:06 16:00:40,712.0
2,2024:12:06 16:01:40,791.5
