id,time,value
1,2024:11:11 21:20:05,538.6
2,2024:11:11 21:20:05,42.6
3,2024:11:11 21:20:05,437.1
4,2024:11:11 21:20:05,47.3
5,2024:11:11 21:20:05,153.9
1,2024:11:11 21:21:05,433.3
2,2024:11:11 21:21:05,313.7
3,2024:11:11 21:21:05,49.4
4,2024:11:11 21:21:05,502.1
5,2024:11:11 21:21:05,99.9
1,2024:11:11 21:22:05,522.6
2,2024:11:11 21:22:05,48.1
3,2024:11:11 21:22:05,143.5
4,2024:11:11 21:22:05,462.7
5,2024:11:11 21:22:05,229.2
1,2024:11:11 21:23:05,498.5
2,2024:11:11 21:23:05,39.6
3,2024:11:11 21:23:05,3.4
4,2024:11:11 21:23:05,121.9
5,2024:11:11 21:23:05,158.5
1,2024:11:11 21:24:05,503.4
2,2024:11:11 21:24:05,736.1
3,2024:11:11 21:24:05,42.9
4,2024:11:11 21:24:05,529.6
5,2024:11:11 21:24:05,87.3
1,2024:11:11 21:25:05,608.8
2,2024:11:11 21:25:05,50.6
3,2024:11:11 21:25:05,546.4
4,2024:11:11 21:25:05,430.0
5,2024:11:11 21:25:05,420.2
1,2024:11:11 21:26:05,374.8
2,2024:11:11 21:26:05,105.2
3,2024:11:11 21:26:05,440.4
4,2024:11:11 21:26:05,413.2
5,2024:11:11 21:26:05,152.3
1,2024:11:11 21:27:05,489.5
2,2024:11:11 21:27:05,51.2
3,2024:11:11 21:27:05,428.8
4,2024:11:11 21:27:05,427.2
5,2024:11:11 21:27:05,160.1
1,2024:11:11 21:28:05,541.5
2,2024:11:11 21:28:05,46.8
3,2024:11:11 21:28:05,56.6
4,2024:11:11 21:28:05,433.0
5,2024:11:11 21:28:05,247.4
1,2024:11:11 21:29:05,407.8
2,2024:11:11 21:29:05,597.5
3,2024:11:11 21:29:05,458.0
4,2024:11:11 21:29:05,511.4
5,2024:11:11 21:29:05,106.5
1,2024:11:11 21:30:05,103.4
2,2024:11:11 21:30:05,43.6
3,2024:11:11 21:30:05,399.8
4,2024:11:11 21:30:05,115.6
5,2024:11:11 21:30:05,41.2
1,2024:11:11 21:31:05,519.9
2,2024:11:11 21:31:05,52.7
3,2024:11:11 21:31:05,547.8
4,2024:11:11 21:31:05,484.7
5,2024:11:11 21:31:05,38.2
1,2024:11:11 21:32:05,448.6
2,2024:11:11 21:32:05,47.0
3,2024:11:11 21:32:05,399.5
4,2024:11:11 21:32:05,498.1
5,2024:11:11 21:32:05,227.6
1,2024:11:11 21:33:05,450.6
2,2024:11:11 21:33:05,47.7
3,2024:11:11 21:33:05,8.7
4,2024:11:11 21:33:05,652.2
5,2024:11:11 21:33:05,239.5
1,2024:11:11 21:34:05,495.4
2,2024:11:11 21:34:05,44.1
3,2024:11:11 21:34:05,391.8
4,2024:11:11 21:34:05,498.1
5,2024:11:11 21:34:05,382.2
1,2024:11:11 21:35:05,381.2
2,2024:11:11 21:35:05,576.6
3,2024:11:11 21:35:05,445.2
4,2024:11:11 21:35:05,45.1
5,2024:11:11 21:35:05,139.5
1,2024:11:11 21:36:05,582.7
2,2024:11:11 21:36:05,40.8
3,2024:11:11 21:36:05,422.9
4,2024:11:11 21:36:05,386.2
5,2024:11:11 21:36:05,51.3
1,2024:11:11 21:37:05,189.7
2,2024:11:11 21:37:05,697.4
3,2024:11:11 21:37:05,655.7
4,2024:11:11 21:37:05,691.1
5,2024:11:11 21:37:05,176.5
1,2024:11:11 21:38:05,585.7
2,2024:11:11 21:38:05,46.8
3,2024:11:11 21:38:05,543.9
4,2024:11:11 21:38:05,45.2
5,2024:11:11 21:38:05,192.9
1,2024:11:11 21:39:05,450.1
2,2024:11:11 21:39:05,46.6
3,2024:11:11 21:39:05,439.3
4,2024:11:11 21:39:05,250.1
5,2024:11:11 21:39:05,733.0
1,2024:11:11 21:40:05,426.4
2,2024:11:11 21:40:05,719.0
3,2024:11:11 21:40:05,467.3
4,2024:11:11 21:40:05,458.8
5,2024:11:11 21:40:05,636.9
1,2024:11:11 21:41:05,356.3
2,2024:11:11 21:41:05,35.5
3,2024:11:11 21:41:05,444.7
4,2024:11:11 21:41:05,356.3
5,2024:11:11 21:41:05,190.4
1,2024:11:11 21:42:05,360.0
2,2024:11:11 21:42:05,147.1
3,2024:11:11 21:42:05,530.0
4,2024:11:11 21:42:05,626.6
5,2024:11:11 21:42:05,418.9
1,2024:11:11 21:43:05,339.3
2,2024:11:11 21:43:05,46.0
3,2024:11:11 21:43:05,538.5
4,2024:11:11 21:43:05,463.1
5,2024:11:11 21:43:05,184.3
1,2024:11:11 21:44:05,408.9
2,2024:11:11 21:44:05,42.8
3,2024:11:11 21:44:05,397.2
4,2024:11:11 21:44:05,489.0
5,2024:11:11 21:44:05,73.2
1,2024:11:11 21:45:05,556.6
2,2024:11:11 21:45:05,122.3
3,2024:11:11 21:45:05,385.4
4,2024:11:11 21:45:05,514.3
5,2024:11:11 21:45:05,312.1
1,2024:11:11 21:46:05,466.0
2,2024:11:11 21:46:05,37.0
3,2024:11:11 21:46:05,516.0
4,2024:11:11 21:46:05,461.9
5,2024:11:11 21:46:05,1.5
1,2024:11:11 21:47:05,313.3
2,2024:11:11 21:47:05,53.1
3,2024:11:11 21:47:05,594.2
4,2024:11:11 21:47:05,440.5
5,2024:11:11 21:47:05,226.8
1,2024:11:11 21:48:05,353.6
2,2024:11:11 21:48:05,39.2
3,2024:11:11 21:48:05,528.5
4,2024:11:11 21:48:05,508.7
5,2024:11:11 21:48:05,247.0
1,2024:11:11 21:49:05,541.6
2,2024:11:11 21:49:05,5.1
3,2024:11:11 21:49:05,446.6
4,2024:11:11 21:49:05,354.8
5,2024:11:11 21:49:05,206.4
1,2024:11:11 21:50:05,68.1
2,2024:11:11 21:50:05,52.7
3,2024:11:11 21:50:05,366.5
4,2024:11:11 21:50:05,386.3
5,2024:11:11 21:50:05,159.2
1,2024:11:11 21:51:05,387.4
2,2024:11:11 21:51:05,47.3
3,2024:11:11 21:51:05,575.3
4,2024:11:11 21:51:05,222.0
5,2024:11:11 21:51:05,517.0
1,2024:11:11 21:52:05,124.7
2,2024:11:11 21:52:05,633.4
3,2024:11:11 21:52:05,519.8
4,2024:11:11 21:52:05,437.3
5,2024:11:11 21:52:05,117.9
1,2024:11:11 21:53:05,504.1
2,2024:11:11 21:53:05,45.8
3,2024:11:11 21:53:05,631.7
4,2024:11:11 21:53:05,459.9
5,2024:11:11 21:53:05,437.3
1,2024:11:11 21:54:05,536.0
2,2024:11:11 21:54:05,42.7
3,2024:11:11 21:54:05,6.8
4,2024:11:11 21:54:05,139.3
5,2024:11:11 21:54:05,196.9
1,2024:11:11 21:55:05,454.4
2,2024:11:11 21:55:05,40.1
3,2024:11:11 21:55:05,517.4
4,2024:11:11 21:55:05,447.3
5,2024:11:11 21:55:05,177.7
1,2024:11:11 21:56:05,408.0
2,2024:11:11 21:56:05,322.0
3,2024:11:11 21:56:05,35.9
4,2024:11:11 21:56:05,407.2
5,2024:11:11 21:56:05,40.7
